ship_to_delivery_days,Count,CarrierService
,"9,230",MI
1,198,MI
2,299,MI
3,"1,147",MI
4,"5,307",MI
5,"2,128",MI
6,183,MI
,"12,154",UPS Ground
1,455,UPS Ground
2,"2,607",UPS Ground
3,118,UPS Ground
4,"4,306",UPS Ground
5,"2,696",UPS Ground
6,353,UPS Ground
